,country,region,ladder_score,Std Err,upperwhisker,lowerwhisker,GDP_per_capita,Social support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,eb_GDP_per_capita,eb_social_support,eb_healthy_life_expectancy,eb_freedom_to_make_life_choices,eb_generosity,eb_perceptions_of_corruption,dystopia_plus_residual,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
44,El Salvador,Latin America and Caribbean,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.11599999999999999,0.16,3.085,North America,78766,2381.0,72572.0,3813.0,54.0,12083,365.0,1062066.0,162924.0,6518782
46,Latvia,Central and Eastern Europe,6.032,0.036000000000000004,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.5870000000000001,0.405,0.08199999999999999,0.08900000000000001,2.536,Europe,137429,2513.0,133928.0,988.0,37.0,73674,1347.0,2906594.0,1558183.0,1865374
47,Colombia,Latin America and Caribbean,6.0120000000000005,0.061,6.132000000000001,5.892,9.557,0.847,68.001,0.8370000000000001,-0.135,0.841,2.43,1.021,0.866,0.615,0.5539999999999999,0.1,0.063,2.7939999999999996,South America,4240982,106544.0,3936156.0,198282.0,8155.0,82474,2072.0,19936910.0,387712.0,51422011
48,Hungary,Central and Eastern Europe,5.992000000000001,0.047,6.085,5.899,10.357999999999999,0.943,68.0,0.755,-0.18600000000000003,0.8759999999999999,2.43,1.301,1.083,0.615,0.45399999999999996,0.067,0.04,2.432,Europe,808160,29992.0,739204.0,38964.0,20.0,83870,3113.0,6138529.0,637048.0,9635895
49,Thailand,Southeast Asia,5.985,0.047,6.077000000000001,5.893,9.805,0.888,67.40100000000001,0.884,0.287,0.895,2.43,1.107,0.9570000000000001,0.596,0.611,0.375,0.027999999999999997,2.309,Asia,264834,2080.0,210702.0,52052.0,1806.0,3785,30.0,8129670.0,116181.0,69974416
51,Japan,East Asia,5.94,0.04,6.02,5.861000000000001,10.610999999999999,0.884,75.1,0.7959999999999999,-0.258,0.638,2.43,1.389,0.9490000000000001,0.838,0.504,0.02,0.192,2.048,Asia,798159,14740.0,766616.0,16803.0,523.0,6330,117.0,16375808.0,129874.0,126090407
52,Argentina,Latin America and Caribbean,5.928999999999999,0.055999999999999994,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.8340000000000001,2.43,1.162,0.98,0.6459999999999999,0.544,0.069,0.067,2.461,South America,4470374,94304.0,4076921.0,299149.0,6308.0,98017,2068.0,16695671.0,366067.0,45608189
53,Portugal,Western Europe,5.928999999999999,0.055,6.037000000000001,5.821000000000001,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.3230000000000002,0.9390000000000001,0.76,0.621,0.028999999999999998,0.033,2.225,Europe,879557,17096.0,828990.0,33471.0,120.0,86510,1682.0,13137838.0,1292196.0,10167065
54,Honduras,Latin America and Caribbean,5.919,0.08199999999999999,6.081,5.757999999999999,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.24100000000000002,0.083,2.9339999999999997,North America,262760,7005.0,92454.0,163301.0,566.0,26117,696.0,792602.0,78780.0,10060985
55,Croatia,Central and Eastern Europe,5.882000000000001,0.048,5.975,5.787999999999999,10.217,0.924,70.79899999999999,0.754,-0.11800000000000001,0.9390000000000001,2.43,1.251,1.0390000000000001,0.703,0.45299999999999996,0.111,0.0,2.325,Europe,359872,8206.0,351170.0,496.0,12.0,88204,2011.0,2148554.0,526605.0,4080009
56,Philippines,Southeast Asia,5.88,0.052000000000000005,5.982,5.778,9.076,0.83,62.0,0.917,-0.09699999999999999,0.742,2.43,0.853,0.828,0.426,0.6509999999999999,0.125,0.126,2.872,Asia,1412559,24662.0,1339248.0,48649.0,1957.0,12722,222.0,14931545.0,134482.0,111029921
57,South Korea,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.8009999999999999,0.353,0.134,0.135,2.262,Asia,157723,2021.0,148024.0,7678.0,144.0,3074,39.0,10614317.0,206854.0,51313145
59,Moldova,Commonwealth of Independent States,5.766,0.046,5.856,5.6770000000000005,9.454,0.857,65.699,0.8220000000000001,-0.079,0.9179999999999999,2.43,0.985,0.888,0.542,0.536,0.13699999999999998,0.013000000000000001,2.665,Europe,256734,6194.0,249706.0,834.0,48.0,63791,1539.0,1261083.0,313342.0,4024616
60,Ecuador,Latin America and Caribbean,5.763999999999999,0.057,5.875,5.653,9.312999999999999,0.821,68.8,0.8420000000000001,-0.124,0.843,2.43,0.935,0.8059999999999999,0.64,0.56,0.107,0.062,2.653,South America,458504,21560.0,423688.0,13256.0,422.0,25602,1204.0,1545526.0,86299.0,17909055
61,Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.40100000000001,0.935,0.11900000000000001,0.9079999999999999,2.43,0.665,0.971,0.501,0.6729999999999999,0.266,0.02,2.648,Asia,126395,2009.0,110698.0,13688.0,102.0,19061,303.0,1310251.0,197594.0,6631030
62,Greece,Western Europe,5.723,0.046,5.813,5.632000000000001,10.279000000000002,0.823,72.6,0.5820000000000001,-0.28800000000000003,0.823,2.43,1.273,0.8109999999999999,0.76,0.243,0.0,0.07400000000000001,2.5610000000000004,Europe,422456,12687.0,405030.0,4739.0,196.0,40729,1223.0,10632619.0,1025100.0,10372272
63,Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.6129999999999995,9.046,0.81,63.901,0.875,-0.077,0.8390000000000001,2.43,0.8420000000000001,0.782,0.486,0.6,0.138,0.064,2.805,South America,439624,16767.0,360926.0,61931.0,200.0,37158,1417.0,1826165.0,154352.0,11831182
64,Mongolia,East Asia,5.6770000000000005,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.11599999999999999,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,Asia,117963,578.0,79256.0,38129.0,126.0,35417,174.0,3266128.0,980615.0,3330694
65,Paraguay,Latin America and Caribbean,5.653,0.092,5.832000000000001,5.473,9.448,0.893,65.9,0.8759999999999999,0.027999999999999997,0.882,2.43,0.983,0.97,0.5489999999999999,0.602,0.20600000000000002,0.037000000000000005,2.306,South America,423282,12895.0,370655.0,39732.0,541.0,58630,1786.0,1531103.0,212076.0,7219595
